# Name	Time [MJD]	Ra [rad]	Dec [rad]	z	dL [Mpc]	Type	GM2.0_pre_p	GM2.0_post_p	GM2.5_pre_p	GM2.5_post_p	GM3.0_pre_p	GM3.0_post_p	LLGRB_PE_pre_p	LLGRB_PE_post_p	ULGRB_CS_pre_p	ULGRB_CS_post_p
SN2009er	54989.5	4.09934208062168	0.426467809029047	0.035	159.0	Ib Pec	0.227	1.0	0.229	1.0	0.232	1.0	0.227	1.0	0.223	1.0
SN2009ki	54995.5	4.25053122707569	0.972060642084561	0.107	511.0	Ic	0.738	1.0	0.747	1.0	0.748	1.0	0.714	1.0	0.735	1.0
SN2009gi	54998.5	5.01920331847486	0.341379614298555	0.013	58.1	Ib	0.498	1.0	0.5	1.0	0.515	1.0	0.511	1.0	0.497	1.0
SN2009gl	55004.5	3.55494479810378	0.162949271916683	0.0236	106.85	Ib	0.334	1.0	0.303	1.0	0.284	1.0	0.382	1.0	0.317	1.0
SN2009hu	55006.5	3.89862921664233	0.324491129717105	0.13	630.0	Ib	0.043	0.791	0.038	0.756	0.035	0.724	0.045	0.813	0.04	0.767
SN2009ha	55013.5	0.684896287303441	-0.0932936662832702	0.0147	66.12	Ib	0.063	0.904	0.061	0.897	0.06	0.893	0.063	0.904	0.061	0.895
SN2009hy	55044.5	5.83136319706955	0.287460575940277	0.0252	113.7	Ic	0.002	0.066	0.002	0.062	0.002	0.064	0.002	0.058	0.002	0.058
SN2009em	55073.5	0.151625478767007	-0.146596021639177	0.0056	23.0	Ic	0.048	0.832	0.056	0.875	0.064	0.907	0.048	0.83	0.058	0.884
SN2009je	55090.5	1.43407886872201	0.385942718238782	0.019	85.3	Ic	0.289	1.0	0.288	1.0	0.291	1.0	0.294	1.0	0.279	1.0
SN2009iz	55119.5	0.7079491778402	0.739971606291166	0.014	62.6	Ib	0.347	1.0	0.391	1.0	0.439	1.0	0.29	1.0	0.36	1.0
SN2009jf	55120.5	6.0426934806652	0.215254850344228	0.0079	31.0	Ib	0.112	0.986	0.101	0.978	0.094	0.971	0.124	0.992	0.106	0.982
SN2009ny	55123.5	5.80932841526313	-0.160785548457891	0.057	263.0	Ib	0.699	1.0	0.685	1.0	0.686	1.0	0.703	1.0	0.677	1.0
SN2009lj	55147.5	0.840085146626604	0.686118017779837	0.0146	65.34	IIb/Ib/Ic	0.213	1.0	0.226	1.0	0.237	1.0	0.195	1.0	0.208	1.0
SN2009lw	55158.5	0.646644487863899	0.546512524608579	0.0167	75.2	IIb/Ib/Ic	0.247	1.0	0.237	1.0	0.234	1.0	0.251	1.0	0.237	1.0
SN2009nh	55160.5	2.40411832257002	0.272470621734051	unk	unk	Ic	0.716	1.0	0.72	1.0	0.717	1.0	0.698	1.0	0.712	1.0
SN2009np	55179.5	3.25991143246457	0.112153403292112	0.026	117.0	Ic	0.663	1.0	0.671	1.0	0.684	1.0	0.658	1.0	0.662	1.0
PTF10bhu	55196.5	3.383611643199673	0.9350538441781077	0.036	164.471	Ic	0.644	1.0	0.627	1.0	0.606	1.0	0.67	1.0	0.646	1.0
PTF10bip	55196.5	3.290745582583141	0.14597012717686464	0.051	235.516	Ic	0.752	1.0	0.823	1.0	0.878	1.0	0.67	1.0	0.77	1.0
SN2010Q	55210.5	2.73340377477962	0.681216066650139	0.055	253.0	Ic	0.246	1.0	0.243	1.0	0.236	1.0	0.244	1.0	0.245	1.0
SN2010S	55211.5	0.432259878077262	-0.0108220109897271	unk	unk	Ic	0.957	1.0	0.953	1.0	0.947	1.0	0.957	1.0	0.957	1.0
SN2010P	55214.5	3.00422069704741	1.02212929018747	0.0104	46.39	Ib/IIb	0.819	1.0	0.816	1.0	0.814	1.0	0.817	1.0	0.817	1.0
PTF10bfz	55232.5	3.38019370674785	0.268863074651547	0.1699	847.71	SLSN-I	0.546	1.0	0.538	1.0	0.545	1.0	0.564	1.0	0.522	1.0
SN2010X	55239.5	1.25867327889658	1.28230697622331	0.015	67.1	Ic	0.386	1.0	0.38	1.0	0.374	1.0	0.381	1.0	0.39	1.0
SN2010ah	55249.5	3.07199764966652	0.971991313728162	0.0498	228.7	Ic BL	0.886	1.0	0.91	1.0	0.933	1.0	0.851	1.0	0.894	1.0
SN2010bf	55251.5	2.82859694106548	1.00191352931256	0.074	346.0	Ic	0.516	1.0	0.547	1.0	0.57	1.0	0.476	1.0	0.505	1.0
SN2010ak	55265.5	4.23605953869457	0.313752506680528	0.0365	166.0	Ic	0.593	1.0	0.636	1.0	0.667	1.0	0.543	1.0	0.606	1.0
PTF10ciw	55268.5	3.28740036818349	0.251799087517535	0.1311	638.718	Ic-BL	0.159	0.998	0.144	0.996	0.129	0.993	0.181	0.999	0.157	0.998
SN2010ay	55271.5	3.29627245854779	0.472416025656203	0.0671	311.9	Ic BL	0.763	1.0	0.731	1.0	0.71	1.0	0.792	1.0	0.754	1.0
SN2010av	55273.5	3.95731591274064	0.986245805580145	0.0296	133.9	Ib	0.204	1.0	0.207	1.0	0.209	1.0	0.194	1.0	0.209	1.0
SN2010gx	55276.5	2.99229428049211	-0.154080575248146	0.2297	1181.3	SLSN-I	0.297	1.0	0.298	1.0	0.307	1.0	0.296	1.0	0.294	1.0
SN2010br	55296.5	3.15547900217303	0.777171360042701	0.00234	10.42	Ib/c	0.274	1.0	0.242	1.0	0.213	1.0	0.314	1.0	0.277	1.0
PTF10hcw	55329.5	2.28463599086058	0.876341937768381	unk	unk	Ib	0.911	1.0	0.91	1.0	0.907	1.0	0.906	1.0	0.912	1.0
SN2010ct	55330.5	2.813616198319192	0.11521742575672456	0.0277	125.788	Ic	0.216	1.0	0.221	1.0	0.222	1.0	0.21	1.0	0.221	1.0
SN2010do	55347.5	3.65413767725879	0.106409330798327	0.0146	65.0	Ic	0.76	1.0	0.73	1.0	0.694	1.0	0.785	1.0	0.756	1.0
SN2010eh	55359.5	5.44644537495264	-0.101292122394215	0.02	90.0	Ic	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SN2010md	55367.5	4.35365109704769	0.108367008442647	0.0987	468.8	SLSN-I	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
