# Name	Time [MJD]	Ra [rad]	Dec [rad]	z	dL [Mpc]	Type	GM2.0_pre_p	GM2.0_post_p	GM2.5_pre_p	GM2.5_post_p	GM3.0_pre_p	GM3.0_post_p	LLGRB_PE_pre_p	LLGRB_PE_post_p	ULGRB_CS_pre_p	ULGRB_CS_post_p
SN2011jf	55921.5	0.6934047674069138	0.48601941273445537	0.0153	68.845	Ib/c	0.534	1.0	0.554	1.0	0.586	1.0	0.519	1.0	0.54	1.0
SN2011kf	55925.5	3.82648894089323	0.288253731122572	0.245	1271.0	Ic	0.913	1.0	0.917	1.0	0.917	1.0	0.908	1.0	0.912	1.0
SN2012C	55930.5	2.51981910756681	0.573202487381021	0.0145	64.88	Ic	0.915	1.0	0.919	1.0	0.927	1.0	0.909	1.0	0.914	1.0
SN2012F	55930.5	0.145444104332861	0.0664068691562976	0.03	140.0	Ib	0.312	1.0	0.271	1.0	0.249	1.0	0.353	1.0	0.301	1.0
SN2011kg	55937.5	0.435314204268252	0.52227523424887	0.1924	968.7	SLSN-I	0.319	1.0	0.349	1.0	0.377	1.0	0.286	1.0	0.332	1.0
SN2012il	55941.5	2.55785274084986	0.346296109838687	0.175	872.1	SLSN-I	0.622	1.0	0.582	1.0	0.57	1.0	0.712	1.0	0.607	1.0
SN2012aa	55954.5	3.89448405966885	-0.0616392114162664	0.0797	373.7	Ic	0.72	1.0	0.737	1.0	0.753	1.0	0.708	1.0	0.741	1.0
SN2012ap	55975.5	1.31001504772608	-0.0584258663378724	0.01224	54.677	Ic BL	0.46	1.0	0.354	1.0	0.269	1.0	0.537	1.0	0.425	1.0
LSQ12axx	55993.5	2.17228042026344	-0.0998284698909457	0.0399	181.9	Ib	0.187	0.999	0.199	1.0	0.202	1.0	0.184	0.999	0.226	1.0
PTF12bwq	56007.5	3.60803189618528	0.441409281867162	0.04	180.0	Ib	0.816	1.0	0.799	1.0	0.778	1.0	0.836	1.0	0.822	1.0
PS1-12sk	56013.5	2.29038103298173	0.74999168697097	0.05402	248.8	Ibn	0.279	1.0	0.3	1.0	0.314	1.0	0.255	1.0	0.278	1.0
PTF11qcj	56014.5	3.46316956826975	0.825526191782885	0.028	127.0	Ic	0.312	1.0	0.301	1.0	0.286	1.0	0.332	1.0	0.308	1.0
LSQ12bkl	56015.5	3.297217845225954	0.06728884220497205	0.073	342.319	Ibc	0.101	0.978	0.094	0.971	0.093	0.97	0.116	0.988	0.091	0.968
LSQ12bph	56017.5	4.1343941097659	0.402814137378657	0.045	206.0	Ic	0.509	1.0	0.536	1.0	0.546	1.0	0.482	1.0	0.512	1.0
LSQ12bqn	56018.5	2.21969519827595	-0.15836438893443	0.091	430.0	Ic	0.896	1.0	0.873	1.0	0.852	1.0	0.903	1.0	0.871	1.0
LSQ12btw	56025.5	2.6637360488041786	0.09663539002442204	0.0571	264.822	Ibn	0.938	1.0	0.936	1.0	0.929	1.0	0.939	1.0	0.943	1.0
SN2012bw	56039.5	4.24522251726754	0.567437083085266	0.0309	140.0	Ic	0.557	1.0	0.548	1.0	0.534	1.0	0.554	1.0	0.557	1.0
SN2012bz	56039.5	2.38950119008457	0.244673344513955	0.283	1498.0	Ic BL	0.984	1.0	0.983	1.0	0.982	1.0	0.984	1.0	0.985	1.0
PTF12cde	56068.5	3.66068266195377	0.632518956451092	0.0125	55.85	Ib/c	0.367	1.0	0.36	1.0	0.365	1.0	0.377	1.0	0.368	1.0
